Key,Type,Desc,Chinese,English [en-US],Chinese (Taiwan),,,
anli,Text,,安丽娜,Anna,,,,
task,Text,,任务,Task ,,,,
team,Text,,队伍,Team,,,,
invite,Text,,邀请,Invite,,,,
hangUp,Text,,挂机,HangUp,,,,
wear,Text,,穿戴,Wear,,,,
player,Text,,角色,Role,,,,
chatXXX,Text,,颠三倒四：哪里能打副本？,Topsy-turvy: Where can I play a copy?,,,,
com_txt_00,Text,,正在加载资源,loading resource,,,,
com_txt_01,Text,,登录,Login,,,,
com_txt_02,Text,,登录界面,login interface,,,,
com_txt_03,Text,,注册,Register,,,,
com_txt_04,Text,,进入游戏,enter the game,,,,
com_txt_05,Text,,xxx,22222,,,,
yes,Text,,同意,agree,,,,
no,Text,,拒绝,reject,,,,
confirm,Text,,确定,confirm,,,,
cancel,Text,,取消,Cancel,,,,
zones,Text,,副本,copy,,,,
exitzones,Text,,退出副本,quit copy,,,,
get,Text,,获得,get,,,,
,,,,,,,,
bag,Text,,包裹,pack,,,,
    bag_all,Text,,全部,All,,,,
    bag_use,Text,,使用,Use,,,,
    bag_repair,Text,,修理,repair,,,,
    bag_uninstall,Text,,卸载,uninstall,,,,
    bag_wp,Text,,装备,equipment,,,,
    bag_tool,Text,,道具,props,,,,
    bag_produce,Text,,生产,Production,,,,
    bag_txt_001,Text,,分解,break down,,,,
    bag_txt_002,Text,,出售,Sell,,,,
    bag_txt_003,Text,,整理,Tidy,,,,
    bag_txt_004,Text,,强化,Strengthen,,,,
    bag_txt_005,Text,,装备等级,LevelLimit,,,,
friend,Text,,添加好友,add friend,,,,
    fd_recent,Text,,最近,Recent,,,,
    fd_friend,Text,,好友,Friend,,,,
    fd_gChat,Text,,群聊,group chat,,,,
    fd_allFriend,Text,,全部好友,all friends,,,,
    fd_edit,Text,,编辑,Edit,,,,
    fd_mail,Text,,邮箱,Mail,,,,
    fd_search_Type,Text,,搜索类型,SearchType,,,,
    fd_role_name,Text,,角色名称,Role Name,,,,
    fd_search_result,Text,,搜索结果,search results,,,,
    fd_Not_Finding_Role,Text,,没有找到该人物哦~,The character was not found~,,,,
    fd_Click_Input,Text,,点击这里输入,Click here to enter,,,,
    fd_On_Line,Text,,在线,online,,,,
    fd_On_offline,Text,,在线,offline,,,,
    fd_if_Delete,Text,,是否删除好友,Whether to delete friends,,,,
,,,,,,,,
set,Text,,系统设置,system settings,,,,
    set_account,Text,,账号与角色,Accounts and Roles,,,,
        set_account_0001,Text,,角色描述,role description  ,,,,
        set_account_1001,Text,,隐私策略,Privacy Policy,,,,
        set_account_1002,Text,,切换角色,switch roles,,,,
        set_account_1003,Text,,切换账号,switch account,,,,
        set_account_1004,Text,,脱离卡死,get out of the jam,,,,
        set_account_1005,Text,,用户协议,User Agreement,,,,
        set_account_1006,Text,,退出游戏,exit the game,,,,
        set_account_2001,Text,,信息查询,Information query,,,,
        set_account_2002,Text,,隐私政策,Privacy Policy,,,,
        set_account_2003,Text,,查询用户协议,Query User Agreement,,,,
        set_account_2004,Text,,第三方信息共享清单,Third Party Information Sharing Checklist,,,,
        set_account_2005,Text,,账号注销,Account cancellation,,,,
    set_display,Text,,画面与显示,screen and display,,,,
    set_voice,Text,,语音与好友,Voice and Friends,,,,
    set_operate,Text,,操作与战斗,Operation and Combat,,,,
    set_sound,Text,,语言与音效,language and sound,,,,
        set_txt_sound,Text,,声音,Sound,,,,
        set_slider_001,Text,,音乐音量,music volume,,,,
        set_slider_002,Text,,配音音量,Dubbing volume,,,,
        set_slider_003,Text,,音效音量,sound volume,,,,
        set_btn_default,Text,,回复默认设置,Revert to default settings,,,,
        set_txt_001,Text,,震动,Shock,,,,
        set_txt_002,Text,,普通话,Mandarin,,,,
        set_txt_003,Text,,配音语言,dubbing language,,,,
        set_txt_004,Text,,下载粤语语言包,Download Cantonese Language Pack,,,,
,,,,,,,,
    set_push,Text,,推送与提示,Push and prompt,,,,
    set_language,Text,,语言,Language,,,,
    set_sys,Text,,系统,system,,,,
    set_fast,Text,,快捷,Fast,,,,
map,Text,,地图,Map,,,,
    map_duskwood_0001,Text,,暮色森林,twilight forest,,,,
    map_duskwood_0002,Text,,xxxx,xxxx,,,,
chat,Text,,聊天,to chat with,,,,
    chat_complex,Text,,私聊,AllowMsg,,,,
    chat_royal,Text,,皇家,Royal,,,,
    chat_newbie,Text,,新手,Newbie,,,,
    chat_world,Text,,世界,World,,,,
    chat_guild,Text,,公会,Guild,,,,
    chat_sys,Text,,系统,system,,,,
    chat_txt_001,Text,,滚屏,scroll,,,,
    chat_txt_002,Text,,点击输入内容,Click to enter,,,,
    chat_txt_003,Text,,发送,Send,,,,
team,Text,,队伍,Team,,,,
    team_001,Text,,离开,Leave,,,,
    team_002,Text,,邀请,Invite,,,,
    team_003,Text,,申请,Apply,,,,
