Key,Type,Desc,Chinese,English [en-US],Chinese (Taiwan),Japanese,Korean
10001,Text,,丛林狼,coyotes,叢林狼,ジャングルの狼,???
10002,Text,,变异丛林狼,Mutant coyote,變異叢林狼,ジャングル?オオカミ,?? ???
10003,Text,,狂暴丛林狼,Rabid coyote,狂暴叢林狼,ジャングルの狼,??? ???
10004,Text,,嗜血黑熊,Blood thirsty bear,嗜血黑熊,血に飢えた熊,?? ??? ??
10005,Text,,嗜血棕熊,Bloodthirsty brown bear,嗜血棕熊,ヒグマグマ,?? ??? ??
10006,Text,,嗜血白熊,Bloodthirsty white bear,嗜血白熊,血に飢えた白熊,?? ??? ??
10007,Text,,鱼人守卫,The fish who guard,魚人守衛,魚人が守る,????
10008,Text,,鱼人队长,Fish are captain,魚人隊長,魚人隊長,?? ???
10009,Text,,苍白女妖,Pale banshee,蒼白女妖,青白い女妖,??? ??
10010,Text,,堕落卫兵,Corrupt guards,墮落衛兵,堕落衛兵,??? ??
10011,Text,,洞穴食人妖,Cave troll,洞穴食人妖,洞窟生肉喰い,?? ??
12001,Text,,穆马基尔,Jose kemalist,穆馬基爾,ムマキール,????
12002,Text,,昂哥立安-游荡者,Angorian - The Wanderer,昂哥立安-遊蕩者,アンゴリアン-遊び人,????-???
3001,Text,,狂暴,violent,狂暴,狂暴,?? ?
3001_Desc,Text,,激发种族血脉，进入狂暴状态，短时间内提高攻击力,"Energize the race bloodline and go berserk, increasing damage for a short time",激發種族血脈，進入狂暴狀態，短時間內提高攻擊力,種族の血を引いて、狂暴状態に入り、短時間で攻撃力を上げる,?? ??? ??? ??? ??? ???? ?? ??? ???? ?????
3003,Text,,坚硬,hard,堅硬,硬い,?? ?
3003_Desc,Text,,激发种族血脉，使皮肤变得坚硬，短时间内提高防御力,"Energize the race bloodline and harden the skin, increasing defense for a short time",激發種族血脈，使皮膚變得堅硬，短時間內提高防禦力,種族の血を引き、皮膚を硬くし、短時間で防御力を高める,??? ??? ??? ??? ???? ??? ?? ??? ???? ?????
3004,Text,,皮糙肉厚,Rough skin,皮糙肉厚,皮がざらざらして肉が厚い,??? ??? ?? ???
3004_Desc,Text,,挖矿时长提升,Mining time increased,挖礦時長提升,採掘時間が上がる,?? ??? ????
3006,Text,,灵巧,smart,靈巧,器用,????
3006_Desc,Text,,激发种族血脉，进一步掌控武器，短时间内提高攻击速度和施法速度,"Energize the race bloodline, further control the weapon, increases attack speed and cast speed for a short time",激發種族血脈，進一步掌控武器，短時間內提高攻擊速度和施法速度,種族の血を引き、さらに武器を掌握し、短時間で攻撃速度と魔法速度を向上させる,"??? ??? ???? ??? ????, ?? ?? ?? ????? ????? ?????"
3008,Text,,精准,accurate,精准,正確な,????
3008_Desc,Text,,激发种族血脉，洞察敌人弱点，短时间内提高暴击率,"Energize the race bloodline, gain insight into enemy weaknesses, and increase your crit rate for a short time",激發種族血脈，洞察敵人弱點，短時間內提高暴擊率,種族の血を引き、敵の弱点を見極め、短時間でヒット率を上げる,??? ??? ???? ?? ??? ???? ???? ??? ??? ???
3101,Text,,盾击,Shield bash,盾擊,盾の一撃,?? ?
3101_Desc,Text,,使用盾牌重击目标,Bash the target with a shield,使用盾牌重擊目標,盾を使って目標を打ち返す,??? ???? ??? ??? ???
3102,Text,,冲锋,The charge,沖鋒,シューズ,??
3102_Desc,Text,,向目标冲锋，造成伤害,"Charge at the target, dealing damage",嚮目標沖鋒，造成傷害,"目標に突撃し,ダメージを与える",??? ?? ??? ???? ???
3103,Text,,大地践踏,The earth on,大地踐踏,大地のじゅうりん,?? ????
3103_Desc,Text,,汇集全身力气践踏大地，对周围敌人造成伤害,"Gather all his strength to trample the ground, causing damage to the surrounding enemies",匯集全身力氣踐踏大地，對周圍敵人造成傷害,"全身の力を結集して大地を踏みにじり,周囲の敵にダメージを与える",??? ?? ?? ??? ??? ??? ??? ???? ???
3104,Text,,猛击,slam,猛擊,撃ちまくります,???
3104_Desc,Text,,向前方区域劈出强力一击,A powerful hack into the front area,嚮前方區域劈出強力一擊,前方エリアに強力な一撃を浴びせる,?? ???? ??? ???
3105,Text,,旋风斩,whirlwind,旋風斬,旋風斬り,????? ??
3105_Desc,Text,,掀起一阵旋风攻击周围敌人,Send up a whirlwind to attack the surrounding enemies,掀起一陣旋風攻擊周圍敵人,旋風を巻き起こして周囲の敵を攻撃する,??? ?????? ??? ??? ?? ????
3106,Text,,嗜血,bloodthirsty,嗜血,血に饥え,???
3106_Desc,Text,,对目标发动强力一击并吸取敌人生命力，回复自身生命值,"Delivers a powerful hit to the target and drains enemy vitality, restoring your health",對目標發動強力一擊併吸取敵人生命力，回復自身生命值,ターゲットに強力な一撃を発働し、敵の生命力を吸い取り、自分のライフを回復する,???? ??? ??? ??? ?? ???? ??? ??? ???? ?????
3107,Text,,山崩地裂,earthquakes,山崩地裂,山が割れる,?? ???? ?? ????
3107_Desc,Text,,全力攻击地面，对周围敌人造成伤害,"Attack the ground with all force, dealing damage to nearby enemies",全力攻擊地面，對周圍敵人造成傷害,"全力で地面を攻撃し,周囲の敵にダメージを与える",? ?? ?? ??? ???? ??? ??? ???? ???
3108,Text,,新月斩,New moon cut,新月斬,クレセント斬り,??? ??
3108_Desc,Text,,使用武器划出如同新月的轨迹，对目标造成伤害,Use the weapon to create a crescent that deals damage to the target,使用武器劃出如同新月的軌跡，對目標造成傷害,武器で新月のような軌跡を描き、ターゲットにダメージを与える,??? ??? ?? ??? ?? ???? ???? ??
3109,Text,,魔剑,shadowbane,魔劍,剣に,MoJian
3109_Desc,Text,,项目标投掷一柄魔剑,The target throws a magic sword,項目標投擲一柄魔劍,ある目標に魔剣を投げる,?? ?? ?? ???
3110,Text,,崩裂之刃,"The blade of cracks,",崩裂之刃,砕けの刃,??? ?
3110_Desc,Text,,旋转身体蓄力过后对目标挥出猛烈一击,Rotate the body and charge it with a powerful blow to the target,旋轉身體蓄力過後對目標揮出猛烈一擊,体を回転させ溜めてからターゲットに強烈な一撃を浴びせる,?? ?? ?? ?? ? ??? ?? ??? ????
3111,Text,,幽冥剑气,Nether shock wave,幽冥劍氣,幽冥の剣気,??? ??
3111_Desc,Text,,在4秒内连续发出8道剑气，随机攻击周围范围内的目标，期间可自由移动,"Emit 8 strokes of sword breath in a row for 4 seconds, randomly attacking targets in the surrounding area. Move freely during this time",在4秒內連續發出8道劍氣，隨機攻擊周圍範圍內的目標，期間可自由移動,4秒間8本の剣気を連続して発し、周囲にいるターゲットをランダムに攻撃する。,4? ?? ???? 8 ?? ??? ??? ??? ??? ???? ????.? ?? ?? ???? ??? ? ??
3112,Text,,精准打击,Precision strike,精准打擊,精密打撃,?? ??
3112_Desc,Text,,快速使用武器打击敌人，在隐形状态下伤害提高,"Quick use of weapons against enemies, increased damage while invisible",快速使用武器打擊敵人，在隱形狀態下傷害提高,武器を素早く使用して敵に打撃を与え、ステルス状態でダメージを高める,?? ??? ?? ???? ??? ???? ???? ????
3113,Text,,隐匿,The hidden,隱匿,隠匿,??
3113_Desc,Text,,在非战斗状态下使用时，会进入隐形状态，敌人无法察觉，且移动速度提升，在战斗状态下使用时，移动速度和攻击力获得提升,"When used in non-combat mode, it becomes invisible to enemies and moves faster. When used in combat mode, it moves faster and does more damage",在非戰鬥狀態下使用時，會進入隱形狀態，敵人無法察覺，且移動速度提升，在戰鬥狀態下使用時，移動速度和攻擊力獲得提升,非戦闘状態で使用すると、ステルス状態になり、敵に気づかれなくなる。また、移働速度がアップする。戦闘状態で使用すると、移働速度と攻撃力がアップする。,"??? ???? ??? ?? ??? ??? ??? ?? ??? ? ?? ??, ?? ??? ???? ?? ???? ??? ?? ?? ??? ???? ????"
3114,Text,,魅影切割,The phantom of the cutting,魅影切割,ファントムカット,?? ??
3114_Desc,Text,,挥动武器切割敌人，隐形状态下伤害提高,Slicing enemies with a wielding weapon increases damage while invisible,揮動武器切割敵人，隱形狀態下傷害提高,武器を振って敵をカットすると、ステルス状態でダメージがアップする,??? ??? ?? ?? ??? ???? ???? ????
3115,Text,,暗影杀机,Shadow fade,暗影殺機,暗影の殺意,????
3115_Desc,Text,,瞬移到目标身边，对目标周围进行一次范围攻击，隐形状态下会再次对目标单独释放一次精准打击,"Teleport over to the target and make an area attack around the target. While invisible, the target will receive a separate precision strike",瞬移到目標身邊，對目標周圍進行一次範圍攻擊，隱形狀態下會再次對目標單獨釋放一次精准打擊,瞬時にターゲットに移動し、ターゲットの周囲に範囲攻撃を行い、ステルス状態で再びターゲットに単独でピンポイント打撃を放つ。,???? ??? ????? ???? ??? ??? ? ?? ?? ????? ??? ???? ?? ? ? ???? ???? ?? ??? ???
3116,Text,,快速射击,Rapid fire,快速射擊,素早く射撃する,?? ??
3116_Desc,Text,,快速射击目标4次,Shoot the target 4 times quickly,快速射擊目標4次,目標を4回速く撃つ,?? ??? ??? 4? ????
3117,Text,,牵制射击,To shoot,牽制射擊,けんせい射撃,?? ??
3117_Desc,Text,,对目标周围区域释放箭雨,A shower of arrows hits the area around the target,對目標周圍區域釋放箭雨,目標の周囲に矢の雨を降らす,?? ?? ??? ??? ??
3118,Text,,鹰击长空,Helicopter strike force,鷹擊長空,イーグルストライク,?? ??? ?? ??
3118_Desc,Text,,短暂蓄力后射出一只化为巨鹰的箭矢，对前方直线区域内敌人造成伤害,"After briefly energizing, shoots an arrow that transforms into a giant eagle, dealing damage to enemies in a straight area ahead",短暫蓄力後射出一只化為巨鷹的箭矢，對前方直線區域內敵人造成傷害,短時間溜めた后、巨鹰と化した矢を放ち、前方直線エリア内の敵にダメージを与える,????? ?? ????? ? ???? ??? ??? ? ??? ?? ??? ?? ??? ???? ???
3119,Text,,逃脱,escape,逃脫,脱税,??
3119_Desc,Text,,向后跳跃一段距离,Jump back some distance,嚮後跳躍一段距離,一定の距離を後ろにジャンプする,?? ??? ?? ????
3120,Text,,乱射,volley,亂射,乱射,??
3120_Desc,Text,,在前方扇形区域进行快速扫射,Make a quick sweep in the sector ahead,在前方扇形區域進行快速掃射,前方のセクタ状の領域で素早く銃を乱射する,??? ??? ???? ?? ??? ????
3121,Text,,火球术,fireball,火球術,火球術,???
3121_Desc,Text,,向目标发射一枚火球,Fire a fireball at the target,嚮目標發射一枚火球,目標に向かって火の玉を1発発射する,??? ?? ???? ????
3122,Text,,冰霜箭,Frost bolt,冰霜箭,氷霜の矢,??? ?? ??
3122_Desc,Text,,发射一枚由寒冰能量凝聚成的箭矢，对目标造成伤害,"Launches an arrow made of frozen energy, dealing damage to the target",發射一枚由寒冰能量凝聚成的箭矢，對目標造成傷害,"氷のエネルギーで凝縮された矢を発射し,目標にダメージを与える",??????? ???? ?? ??? ???? ???? ???? ??
3123,Text,,陨石术,The meteorite technique,隕石術,隕石術,???
3123_Desc,Text,,召唤一颗陨石，对目标范围区域造成伤害,Summons a meteorite that deals damage to the target area,召喚一顆隕石，對目標範圍區域造成傷害,隕石1箇を召喚し、ターゲットエリアにダメージを与える,?? ?? ??? ???? ??? ??? ????
3124,Text,,冰霜之环,The ring of frost,冰霜之環,霜の輪,??? ??? ??
3124_Desc,Text,,召唤冰霜之力冲击目标及周围区域敌人,Summons frost's power to attack the target and surrounding area,召喚冰霜之力沖擊目標及周圍區域敵人,氷霜の力を召喚して目標及び周囲区域の敵に衝撃を与える,?? ? ?? ??? ??? ??? ?? ????
3125,Text,,移形换影,Move in a shadow,移形換影,移形換影,??? ???
3125_Desc,Text,,瞬间向前方闪烁一段距离,Flash forward a short distance for an instant,瞬間嚮前方閃爍一段距離,一瞬前方に点滅する,???? ???? ????
3126,Text,,治疗术,healing,治療術,治療術,???
3126_Desc,Text,,使队友或自身回复血量,Restores health to a party member or yourself,使隊友或自身回復血量,味方もしくは自分の血の量を回復させる,?? ?? ??? ??? ?????
3127,Text,,连锁治疗,Chain treatment,連鎖治療,連鎖治療,?? ??
3127_Desc,Text,,对友方目标及周围区域的友方单位回复生命值,Restores health to friendly units in and around friendly targets,對友方目標及周圍區域的友方單位回復生命值,味方目標および周囲エリアの味方ユニットにライフを回復する,??? ??? ?? ??? ?? ??? ???? ?????
40001,Text,,破旧的斧头,An old axe,破舊的斧頭,古びた斧,??? ??
40002,Text,,破旧的战斧,An old battle-axe,破舊的戰斧,古びたトマホーク,??? ????
40003,Text,,破旧的长剑,A worn-out sword,破舊的長劍,古びた長剣,??? ??
40004,Text,,破旧的匕首,Worn dagger,破舊的匕首,古びた短刀,??? ??
40005,Text,,破旧的长弓,A worn-out longbow,破舊的長弓,古びた長い弓,??? ??
40006,Text,,破旧的法杖,Worn out staff,破舊的法杖,くたびれた杖,??? ??
40007,Text,,破旧的盾牌,Worn shield,破舊的盾牌,くたびれた盾,??? ??
40008,Text,,破旧的皮靴,Worn boots,破舊的皮靴,くたびれた靴,? ?? ??
40009,Text,,破旧的皮衣,Shabby leather,破舊的皮衣,ぼろぼろの革のコート,??? ???
40010,Text,,破旧的头盔,Worn helmet,破舊的頭盔,くたびれたヘルメット,??? ??
40011,Text,,破旧的裤子,Worn trousers,破舊的褲子,くたびれたズボン,? ??
40012,Text,,破旧的护手,Worn gauntlets,破舊的護手,くたびれたハンドガード,??? ???
40013,Text,,新兵斧头,The recruit the axe,新兵斧頭,新兵の斧,?? ??
40014,Text,,新兵战斧,The recruit tomahawk,新兵戰斧,新兵トマホーク,?? ????
40015,Text,,新兵长剑,The recruit a sword,新兵長劍,新兵長剣,?? ???
40016,Text,,新兵匕首,The recruit dagger,新兵匕首,新兵ナイフ,?? ??
40017,Text,,新兵长弓,The recruit longbow,新兵長弓,新兵長弓,?? ??
40018,Text,,新兵法杖,The new art of the rod,新兵法杖,新兵法杖,????
40019,Text,,新兵盾牌,The recruit shield,新兵盾牌,新兵の盾,?? ??
40020,Text,,新兵皮靴,New boots,新兵皮靴,新兵靴,?? ?? ??
40021,Text,,新兵盔甲,The recruit armor,新兵盔甲,新兵の鎧,??? ??? ??
40022,Text,,新兵头盔,The recruit helmet,新兵頭盔,新兵用ヘルメット,?? ??
40023,Text,,新兵裤子,New pants,新兵褲子,新兵のズボン,?? ??
40024,Text,,新兵护手,The new recruits hand,新兵護手,新兵の護衛,?? ???
40025,Text,,精铁斧头,Pure iron axe,精鐵斧頭,鉄の斧,?? ??
40026,Text,,精铁战斧,Pure iron axe,精鐵戰斧,精鉄トマホーク,????
40027,Text,,精铁长剑,Pure iron sword,精鐵長劍,精鉄の長剣,?? ??
40028,Text,,精铁匕首,Pure iron dagger,精鐵匕首,鉄の短刀,?? ??
40029,Text,,精铁长弓,Pure iron long bow,精鐵長弓,精鉄長弓,?? ??
40030,Text,,精铁法杖,Fine rod of tiefa coal industry group,精鐵法杖,精鉄法杖,???
40031,Text,,精铁盾牌,Pure iron shield,精鐵盾牌,精鉄の盾,?? ??
40032,Text,,精致皮靴,Fine leather boots,精致皮靴,精巧な靴,??? ?? ??
40033,Text,,精致皮衣,Fine leather,精致皮衣,精巧な革のコート,??? ???
40034,Text,,精致头盔,Delicate helmet,精致頭盔,精巧なヘルメット,??? ??
40035,Text,,精致裤子,Delicate pants,精致褲子,洗練されたズボン,??? ??
40036,Text,,精致护手,Delicate hand,精致護手,手の手入れ,??? ????
40037,Text,,精灵王战斧,The elvish King tomahawk,精靈王戰斧,エルフ王トマホーク,???? ???
40038,Text,,精灵王法杖,Elven King wand,精靈王法杖,精霊王法杖,?? ???
40039,Text,,精灵王铠甲,Elvenking armor,精靈王鎧甲,精霊王の鎧,?? ?? ??
50000,Text,,EXP,EXP,EXP,exp,exp
50000_Desc,Text,,经验,experience,經驗,経験,??
50001,Text,,果实(小),Fruit (small),果實(小),果実(小さいもの),?? (??)
50001_Desc,Text,,缓慢恢复最大生命值的20%,Slowly restores 20% of maximum health,緩慢恢復最大生命值的20%,最大hpの20%をゆっくり回復する,?? ?? ??? 20 ???? ??? ???
50002,Text,,果实(中),Fruit (middle),果實(中),果実(中),?? (???)
50002_Desc,Text,,缓慢恢复最大生命值的40%,Slowly restores 40% of maximum health,緩慢恢復最大生命值的40%,最大hpの40%をゆっくり回復する,?? ?? ??? 40 ???? ??? ???
50003,Text,,果实(大),Fruit (large),果實(大),果実(大きいもの),??? ??
50003_Desc,Text,,缓慢恢复最大生命值的60%,Slowly restores 60% of maximum health,緩慢恢復最大生命值的60%,最大hpの60%をゆっくり回復する,?? ???? 60%? ??? ???
50004,Text,,生命之泉,The fountain of life,生命之泉,生命の泉,??? ?
50004_Desc,Text,,瞬间回复最大生命值的80%,Instantly restores 80% of maximum health,瞬間回復最大生命值的80%,最大hpの80%を瞬間回復する,????? ?? ???? 80%? ????
50005,Text,,铁矿石,Iron ore,鐵礦石,鉄鉱石,???
50005_Desc,Text,,换取铁宝箱,In exchange for an iron chest,換取鐵寶箱,鉄の宝箱と引き換えに,???? ???
50006,Text,,银矿石,Silver ore,銀礦石,銀鉱石,? ??
50006_Desc,Text,,换取银宝箱,For a silver chest,換取銀寶箱,銀の宝箱と引き換えに,???? ???
50007,Text,,金矿石,Gold ore,金礦石,金鉱石,???
50007_Desc,Text,,换取金宝箱,In exchange for a treasure chest,換取金寶箱,宝箱と引き換えに,???? ???
50008,Text,,经验卡,Experience card,經驗卡,経験カード,????
50008_Desc,Text,,提升本级经验的20%,Increase your experience by 20%,提升本級經驗的20%,そのレベルの経験を20%アップする,?? ??? 20%? ?????
50009,Text,,爆率卡,Rate card,爆率卡,爆発率カード,??? ??
50009_Desc,Text,,提高20%的矿石和红宝石的掉落概率(不提升数量),Increased the drop probability of minerals and rubies by 20% (no increase in quantity),提高20%的礦石和紅寶石的掉落概率(不提升數量),鉱石とルビーの落下確率を20%アップ(数は上げません),??? ??? ?? ??? 20% ????? (??? ???? ??)
50010,Text,,属性卡,Property card,屬性卡,属性カード,?? ??
50010_Desc,Text,,提升15%的所有属性,Increases all attributes by 15%,提升15%的所有屬性,15%アップする全属性,?? ??? 15% ?????
50011,Text,,体力卡,Physical card,體力卡,パワーカード,?? ??
50011_Desc,Text,,补充10点体力,Replenish 10 strength points,補充10點體力,10ポイント体力をつける,??? 10??? ????
50012,Text,,挂机卡,Hang card,掛機卡,フックカード,?? ?? ??
50012_Desc,Text,,补充1h挂机时间,Add 1h hang up time,補充1h掛機時間,1hオンフック時間を補充する,?? ?? 1?? ?? ??? ??? ???
50013,Text,,随机宝石,Random gems,隨機寶石,ランダム?ストーン,?? ??
50013_Desc,Text,,传送到随机区域(未到达主城前不可用),Teleport to random areas (not available until you reach the main city),傳送到隨機區域(未到達主城前不可用),ランダムエリアに転送(本城に到着しないと利用不可),??? ???? ???? (?? ??? ???? ??? ??? ? ??)
50014,Text,,回城宝石,Back to gem,回城寶石,リターンストーン,??? ??
50014_Desc,Text,,传送回主城(未到达主城前不可用),Teleport back to main City (not available until you reach main City),傳送回主城(未到達主城前不可用),主城に転送(主城に到達しないと利用不可),???? ?? ?? (???? ??? ??? ?? ? ?)
50015,Text,,红宝石,ruby,紅寶石,ルビー,??
